,strategy_code,trade nr.,expiration,entry_date,strikes,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
131,DPE,131,2017-11-17,2017-09-05,1400/1370/1330,0.75,2017-10-02,27,46,-2324,-99975,93,-2.32%,ew
132,DPE,132,2017-12-15,2017-10-04,1510/1480/1440,1.45,2017-11-06,33,39,18704,-99615,87,18.78%,tp
133,DPE,133,2018-01-19,2017-11-07,1480/1450/1410,1.4,2017-12-11,34,39,435,-99180,87,0.44%,ue
134,DPE,134,2018-02-16,2017-12-04,1530/1500/1460,1.2,2018-01-08,35,39,4894,-99680,89,4.91%,ue
135,DPE,135,2018-03-16,2018-01-05,1560/1530/1490,1.85,2018-02-05,31,39,-17220,-99540,84,-17.3%,le
136,DPE,136,2018-04-20,2018-02-05,1510/1480/1440,-0.3,2018-03-12,35,39,6694,-99910,103,6.7%,ue
137,DPE,137,2018-05-18,2018-03-08,1570/1540/1500,0.45,2018-03-23,15,56,-1425,-99275,95,-1.44%,le
138,DPE,138,2018-06-15,2018-04-02,1490/1460/1420,-0.15,2018-05-07,35,39,5302,-99485,101,5.33%,ue
139,DPE,139,2018-07-20,2018-05-14,1600/1570/1530,1.65,2018-06-11,28,39,-10625,-99025,85,-10.73%,ue
140,DPE,140,2018-08-17,2018-06-07,1670/1640/1600,1.5,2018-07-09,32,39,-3010,-98900,86,-3.04%,ue
141,DPE,141,2018-09-21,2018-07-10,1690/1660/1620,0.5,2018-08-10,31,42,19475,-99750,95,19.52%,tp
142,DPE,142,2018-10-19,2018-08-10,1690/1660/1620,1.1,2018-09-14,35,35,3150,-99900,90,3.15%,ue
143,DPE,143,2018-11-16,2018-09-04,1730/1700/1660,0.7,2018-10-01,27,46,6044,-99510,93,6.07%,le
144,DPE,144,2018-12-21,2018-10-08,1630/1600/1560,0.15,2018-10-10,2,72,-8819,-99470,98,-8.87%,le
145,DPE,145,2019-01-18,2018-11-05,1550/1520/1480,-0.6,2018-11-14,9,65,-529,-99640,106,-0.53%,le
146,DPE,146,2019-02-15,2018-12-04,1480/1450/1410,-0.55,2018-12-13,9,64,-4724,-99225,105,-4.76%,le
147,DPE,147,2019-03-15,2019-01-03,1340/1310/1270,-0.9,2019-01-31,28,43,11990,-99190,109,12.09%,le
148,DPE,148,2019-05-17,2019-03-04,1580/1550/1510,0.6,2019-03-07,3,71,-7520,-99640,94,-7.55%,le
